frame_no,vehicle_id,vehicle_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
125,6,594.016247173267 396.27940132701195 894.7831458502569 987.0401369841595,735.6851806640625 747.2969970703125 820.5977783203125 802.0288696289062,0.4324808418750763,QE,0.32849099732110437
126,6,592.5240818521938 390.5498010030493 892.5443368266699 989.4765529029456,735.722900390625 747.3330688476562 820.57763671875 801.9620361328125,0.42756256461143494,QE,0.46300048037444635
